OBJECTID,Route,Signing,Qualifier,Ramp,ID,County Order,Factor Group,Station Start,Station End,HPMS Sample ID,Bridge ID,Railroad Crossing,NHS,Roadway Name,Roadway Number,Speed,Oneway,Region County Station,Station ID,Route ID,From Measure,To Measure,COUNT_STATS_ID,County FIPS,Station Number,Continuous Count Site ID,Functional Class,Federal Direction,Full Count,Oneway Flag,Calculation Year,AE_Flag,AADT,DHV,DDHV,Single Unit AADT,Combination Unit AADT,Most Recent Count Year,Most Recent AADT,K-Factor,D-Factor,2nd Most Recent Count Year,2nd Most Recent AADT,3rd Most Recent Count Year,3rd Most Recent AADT,4th Most Recent Count Year,4th Most Recent AADT,Class Count Year,Class F3 - F13 %,Truck or Heavy Vehicle %,Single Unit Truck or Bus %,Combination Truck %,Motorcycle %,Passenger Vehicle %,Light Duty Truck %,Bus %,Single Unit Truck %,Axle Factor,Single Unit Peak %,CU_Peak,Class Group Year,Speed Count Year,Speed Limit,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55 mph,Vehicles Exceeding 65 mph,Average K-Factor,Average D-Factor,NYS Direction Code,Truck AADT,Symbolized Truck Percentage AADT,Truck AADT Type (Actual vs. Estimated),Truck Percent Source Field Name,Region Name,Region Number,County Number,Morning Highest Value,Afternoon Highest Value,Evening Highest Value
40937,87,1,1, ,100495,7,30,INTER 23 RTS I-787 & 9W,START I-87/I-90 OLAP,3004163,5513561, ,Y,NYS Thruway, ,65, ,110250,110250,100495071,12.15,18.57,39244151,1,250,,11,Combined Total,Y,,2019,F,57055,5223,3251,1742,8049,2018,56238,9,62,2016,50469,2015,48763,2014,46162,2018,27,17,3,14,0,73,10,0,3,1,0,1,2019,,,,,,,,13.07251072,59.18663025,0,9791,17,Actual,,,,,1975,2035,2562
40960,87,1,1, ,100495,7,30,End  NYS Thruway / End of Co,RAMP FROM I-90 WEST BOUND, ,1073540, ,Y,Adirondack Nort, ,55, ,110243,110243,100495072,19.06,19.6,39138875,1,243,,11,Combined Total,Y,,2019,F,37707,2896,1526,1227,2046,2017,36643,8,53,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,3273,9,Estimated,,,,,2425,2118,2865
40969,90,1,1, ,100515,14,30,End  NYS Thruway / End of Co,EXIT 1 END 87I/90I OLAP, , , ,Y,Interstate 90, ,55, ,110599,110599,100515142,6.61,6.65,39258527,1,599,,11,Combined Total,Y,,2019,F,60855,6031,3561,1981,3302,2016,58315,10,59,2014,74540,2013,73866,2007,73800,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,5283,9,Estimated,,,,,4109,3378,4820
40984,90,1,1, ,100515,14,30,End  NYS Thruway / End of Co,EXIT 1 END 87I/90I OLAP, , , ,Y,Interstate 90, ,55, ,110599,110599,100515141,6.8,6.9,39258527,1,599,,11,Combined Total,Y,,2019,F,60855,6031,3561,1981,3302,2016,58315,10,59,2014,74540,2013,73866,2007,73800,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,5283,9,Estimated,,,,,4109,3378,4820
40994, , ,1, ,104160,1,30,NY 85 RAMP,WESTERN AVE, , , , ,DAYTONA AVE, ,30, ,111238,111238,104160011,0.33,0.52,39252212,1,1238,,17,Combined Total,Y,,2019,F,2500,240,126,99,20,2016,2521,10,52,2013,2853,2010,2670,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,119,5,Estimated,,,,,170,175,251
41005,87,1,1, ,100495,7,30,End  NYS Thruway / End of Co,RAMP FROM I-90 WEST BOUND, ,1073540, ,Y,Adirondack Nort, ,55, ,110243,110243,100495071,18.82,19.71,39138875,1,243,,11,Combined Total,Y,,2019,F,37707,2896,1526,1227,2046,2017,36643,8,53,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,3273,9,Estimated,,,,,2425,2118,2865
41006, , ,1, ,301491,1,30,OUTER RING RD,INNER RING RD, ,1093152, , ,CAMPUS RING RD, ,40,Y,111364,111364,301491011,0,0.09,39241262,1,1364,,16,Combined Total,Y,Y,2019,F,3290,447,447,117,23,2018,3296,14,100,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,140,4,Estimated,,,,,489,256,307
41011,32,3,1, ,100290,4,30,RT 9 CLINTON AVE,LOUDONVILLE RD,2016011, , , ,PEARL ST N, ,30, ,110016,110016,100290041,24.78,25.69,39246247,1,16,,16,Combined Total,Y,,2019,F,3817,398,253,136,27,2018,3824,10,64,2014,3887,2011,3588,2006,3900,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,163,4,Estimated,,,,,254,236,328
41028,85,3,1, ,100492,1,30,ACC KRUMKILL RD EXIT,BUCKINGHAM DR OVER,3004071, , ,Y, , ,55, ,110567,110567,100492011,24.55,24.79,39192726,1,567,,12,Combined Total,Y,,2019,F,16941,1554,1065,361,104,2017,17134,9,69,2009,15051,2003,14682,2000,14885,2017,15,3,2,1,0,85,12,0,2,1,0,0,2019,2017,55,59,59,65,79,12,13.07251072,59.18663025,0,465,3,Actual,,,,,1078,980,1333
41061, , ,1, ,104397,1,30,WOODLAWN AVE,MADISON AVE, , , , ,MAIN AVE S, ,30, ,111272,111272,104397011,0.92,1.38,39239532,1,1272,,17,Combined Total,Y,,2019,F,6235,589,303,247,49,2018,6252,9,51,2013,6378,2010,8009,,,,,,,,,,,,,,,,2019,,,,,,,,13.07251072,59.18663025,0,296,5,Estimated,,,,,452,376,646
