Latitude,Longitude,Total Ports,EV Connector Type
39.960272,-75.587405,0,CHADEMO
39.960272,-75.587405,0,J1772
39.960272,-75.587405,0,J1772COMBO
39.960272,-75.587405,0,Simultaneous DCFC Ports
39.960272,-75.587405,0,TESLA
40.51337,-74.25137,0,CHADEMO
40.51337,-74.25137,0,J1772
40.51337,-74.25137,0,J1772COMBO
40.51337,-74.25137,0,Simultaneous DCFC Ports
40.51337,-74.25137,6,TESLA
40.516856,-74.196692,0,CHADEMO
40.516856,-74.196692,6,J1772
40.516856,-74.196692,0,J1772COMBO
40.516856,-74.196692,0,Simultaneous DCFC Ports
40.516856,-74.196692,0,TESLA
40.527543,-74.23131,0,CHADEMO
40.527543,-74.23131,0,J1772
40.527543,-74.23131,0,J1772COMBO
40.527543,-74.23131,0,Simultaneous DCFC Ports
40.527543,-74.23131,12,TESLA
40.572636,-74.08616,1,CHADEMO
40.572636,-74.08616,0,J1772
40.572636,-74.08616,1,J1772COMBO
40.572636,-74.08616,0,Simultaneous DCFC Ports
40.572636,-74.08616,0,TESLA
40.572636,-74.08614,1,CHADEMO
40.572636,-74.08614,0,J1772
40.572636,-74.08614,1,J1772COMBO
40.572636,-74.08614,0,Simultaneous DCFC Ports
40.572636,-74.08614,0,TESLA
40.57863,-73.975218,0,CHADEMO
40.57863,-73.975218,6,J1772
40.57863,-73.975218,0,J1772COMBO
40.57863,-73.975218,0,Simultaneous DCFC Ports
40.57863,-73.975218,0,TESLA
40.581132,-74.167932,0,CHADEMO
40.581132,-74.167932,2,J1772
40.581132,-74.167932,0,J1772COMBO
40.581132,-74.167932,0,Simultaneous DCFC Ports
40.581132,-74.167932,0,TESLA
40.581432,-74.097694,0,CHADEMO
40.581432,-74.097694,1,J1772
40.581432,-74.097694,0,J1772COMBO
40.581432,-74.097694,0,Simultaneous DCFC Ports
40.581432,-74.097694,0,TESLA
40.581751,-74.168466,0,CHADEMO
40.581751,-74.168466,2,J1772
40.581751,-74.168466,0,J1772COMBO
40.581751,-74.168466,0,Simultaneous DCFC Ports
40.581751,-74.168466,0,TESLA
40.582763,-74.167812,0,CHADEMO
40.582763,-74.167812,4,J1772
40.582763,-74.167812,0,J1772COMBO
40.582763,-74.167812,0,Simultaneous DCFC Ports
40.582763,-74.167812,0,TESLA
40.582787,-74.07527,1,CHADEMO
40.582787,-74.07527,0,J1772
40.582787,-74.07527,1,J1772COMBO
40.582787,-74.07527,0,Simultaneous DCFC Ports
40.582787,-74.07527,0,TESLA
40.58297,-74.07527,1,CHADEMO
40.58297,-74.07527,0,J1772
40.58297,-74.07527,1,J1772COMBO
40.58297,-74.07527,0,Simultaneous DCFC Ports
40.58297,-74.07527,0,TESLA
40.58333,-74.166262,0,CHADEMO
40.58333,-74.166262,2,J1772
40.58333,-74.166262,0,J1772COMBO
40.58333,-74.166262,0,Simultaneous DCFC Ports
40.58333,-74.166262,0,TESLA
40.584259,-74.086919,0,CHADEMO
