OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
28,534931,53,PERRY BLVD,ERIE ST,PEARL ST,19,30,.02m S of Erie St           ,North                                             ,2,2015,6,22,Northbound,,6,2,2,0,4,14,21,51,32,22,26,34,43,46,43,42,71,74,81,41,41,24,18,8,746,1.1,0.989,678,81,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,42.88063,-78.88005,183113.78280000016,4754866.209799999
29,534931,53,PERRY BLVD,ERIE ST,PEARL ST,19,30,.02m N of RT5               ,South                                             ,2,2015,6,22,Southbound,,47,14,8,11,12,12,20,42,77,57,61,76,101,78,131,161,165,163,189,147,103,103,96,81,1955,1.1,0.989,1777,189,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,42.88063,-78.88005,183113.78280000016,4754866.209799999
30,534931,53,PERRY BLVD,ERIE ST,PEARL ST,19,30,.02m N of RT5               ,,2,2015,6,22,Combined Total,Y,53,16,10,11,16,26,41,93,109,79,87,110,144,124,174,203,236,237,270,188,144,127,114,89,2701,1.1,0.989,2455,270,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,42.88063,-78.88005,183113.78280000016,4754866.209799999
524,534844,53,EAST UTICA ST,NY5  MAIN ST,MICHIGAN AVE,16,30,!75 yards west of michigan a,EB 1 Lane - 30 MPH                                ,1,2015,6,22,Eastbound,,25,11,6,7,3,6,26,67,69,92,85,101,128,114,127,130,146,112,94,78,74,64,47,45,1657,1.1,1,1506,146,17,6,1384,148,72,27,2,0,0,0,0,0,0,0,,1639,15,6,6,0,0,84,9,4,2,1,1,0,,,28,30,35,0,0,,5,3,,42.91123,-78.86365,184609.56599999964,4758203.106899999
525,534844,53,EAST UTICA ST,NY5  MAIN ST,MICHIGAN AVE,16,30,!75 yards west of michigan a,WB 1 Lane - 30 MPH                                ,1,2015,6,22,Westbound,,19,11,4,3,5,14,33,81,105,98,92,113,120,106,131,128,128,109,93,80,69,63,59,40,1704,1.1,1,1549,146,17,8,1334,225,86,33,0,0,2,0,0,0,0,0,,1688,20,7,7,0,0,79,13,5,2,1,1,0,,,29,30,36,0,0,,5,3,,42.91123,-78.86365,184609.56599999964,4758203.106899999
526,534844,53,EAST UTICA ST,NY5  MAIN ST,MICHIGAN AVE,16,30,!75 yards west of michigan a,,1,2015,6,22,Combined Total,Y,44,22,10,10,8,20,59,148,174,190,177,214,248,220,258,258,274,221,187,158,143,127,106,85,3361,1.1,1,3055,274,17,14,2718,373,158,60,2,0,2,0,0,0,0,0,,3327,18,7,7,0,0,82,11,5,2,1,1,0,,,28,30,35,0,0,,5,3,,42.91123,-78.86365,184609.56599999964,4758203.106899999
527,534849,53,WEST UTICA ST,MASSACHUSETTS,RICHMOND AVE,17,30,200 ft East of Brayton st   ,EB 1 Lane - 30 MPH                                ,1,2015,4,19,Eastbound,,11,8,4,1,5,11,23,74,72,76,64,75,72,73,82,94,87,84,57,52,36,28,22,14,1125,1.052,1,1069,94,16,5,917,95,68,27,0,0,0,0,0,0,0,0,,1112,17,9,9,0,0,82,9,6,2,1,1,0,,,24,26,31,0,0,,5,3,,42.91132,-78.88457,182902.1331000002,4758291.850400001
528,534849,53,WEST UTICA ST,MASSACHUSETTS,RICHMOND AVE,17,30,200 ft East of Brayton st   ,WB 1 Lane - 30 MPH                                ,1,2015,4,19,Westbound,,8,7,4,1,3,5,12,36,42,46,51,59,61,56,69,68,80,64,52,48,39,35,32,18,896,1.052,1,852,94,16,7,776,87,8,7,0,0,0,0,0,0,0,0,,885,12,2,2,0,1,88,10,1,1,1,0,0,,,23,25,30,0,0,,5,3,,42.91132,-78.88457,182902.1331000002,4758291.850400001
529,534849,53,WEST UTICA ST,MASSACHUSETTS,RICHMOND AVE,17,30,200 ft East of Brayton st   ,,1,2015,4,19,Combined Total,Y,19,15,8,2,8,16,35,110,114,122,115,134,133,129,151,162,167,148,109,100,75,63,54,32,2021,1.052,1,1921,167,17,12,1693,182,76,34,0,0,0,0,0,0,0,0,,1997,15,6,6,0,1,85,9,4,2,1,1,0,,,23,26,30,0,0,,5,3,,42.91132,-78.88457,182902.1331000002,4758291.850400001
530,534852,53,WEST UTICA ST,NY384 DELAWARE AV,LINWOOD AVE,16,30,25 yards west of linwood    ,EB 1 Lane - 30 MPH                                ,1,2015,6,22,Eastbound,,35,14,8,9,10,17,56,131,147,146,145,164,187,178,210,213,215,182,144,132,106,87,74,74,2684,1.1,1,2440,215,17,28,2234,311,53,35,5,1,0,0,0,0,0,0,,2667,15,4,4,0,1,84,12,2,2,1,0,0,,,17,19,27,0,0,,5,3,,42.91128,-78.86887,184183.66469999962,4758228.2695
